Column 1	Column 2	Column 3	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12
3120	Stephen Kevin Tompsett	null	N-22	1	211	157	387	183			
3121	Kirsten Reese Santiago	null	N-67	0	467	33	636	59			
3122	Tonyell F. McDay	null	N-13	0	589	126	724	152			
3123	Janice Lee Blaney	consultant	N-16	0	626	157	754	183			
3124	Michael J. Berkeley	firefighter	  New York Fire Department	N-67	0	428	157	569	183		
3125	Rosemarie C. Carlson	World Trade Center	  Tower 1	 79th floor	N-67	1	182	126	342	152	
3126	Gricelda E. James	null	N-67	0	270	157	398	183			
3127	Cynthia Motus-Wilson	null	N-67	2	367	126	541	152			
3128	Olabisi Shadie Layeni Yee	null	N-67	1	564	126	746	152			
3129	Mark Stephen Carney	recruiter	  Association of Independent Recruiters	N-65	0	452	157	612	183		
3130	Seline Sutter	null	N-65	0	628	157	729	183			
3131	Linda C. Lee	associate	  Jennison Associates	N-22	0	464	64	556	90		
3132	Nicholas John	World Trade Center	  Tower 1	 106th floor (Windows on the World)	N-23	0	145	95	259	121	
3133	James M. Gartenberg	Associate Director	  Julien J. Studley Inc.	N-64	0	449	157	603	183		
3134	Martin Lizzul	executive	  Krestrel Technologies	N-36	0	310	64	416	90		
3135	Philip Haentzler	legal administrative officer	  Kidder Peabody-Paine Webber	N-73	0	212	33	336	59		
3136	Joseph M. Romagnolo	software analyst	  Marsh & McLennan Cos. Inc.	N-24	2	464	157	629	183		
3137	Kenneth Wilburn White	 Jr.	null	N-24	2	556	126	757	152		
3138	Gina Sztejnberg	null	N-15	0	18	95	139	121			
3139	Nancy Muñiz	office worker	N-65	0	650	64	753	90			
3140	Bon Seok Koo	null	N-73	0	245	95	355	121			
3141	Susan J. Miszkowicz	World Trade Center	N-66	0	213	157	362	183			
3142	Judith Ann Reese	null	N-67	0	30	126	157	152			
3143	William F. Abrahamson	business analyst	  Marsh & McLennan Cos. Inc.	N-7	0	207	157	380	183		
3144	Richard Anthony Aceto	tax specialist	  Marsh & McLennan Cos. Inc.	N-4	0	33	95	214	121		
3145	Christy A. Addamo	accountant	  Marsh & McLennan Cos. Inc.	N-8	1	483	33	625	59		
3146	Trudi M. Alagero	vice president	  Marsh & McLennan Cos. Inc.	N-5	0	236	157	369	183		
3147	Jon Leslie Albert	vice president	  Marsh & McLennan Cos. Inc.	N-7	0	11	126	137	152		
3148	Jacquelyn Delaine Aldridge-Frederick	accountant	  Marsh & McLennan Cos. Inc.	N-10	0	25	33	300	59		
3149	Richard L. Allen	volunteer medic	  Forest Hills Ambulance Corps	N-19	1	264	126	389	152		
3150	Janet Marie Alonso	null	N-5	2	29	95	177	121			
3151	Victoria Alvarez-Brito	Marsh & McLennan Cos. Inc.	N-8	0	434	126	606	152			
3152	Cesar Amoranto Alviar	null	N-16	1	98	95	274	121			
3153	Kermit Charles Anderson	analyst	  Marsh Inc.	N-9	0	535	64	723	90		
3154	Siew-Nya Ang	technical analyst	  Marsh & McLennan Cos. Inc.	N-5	0	121	126	227	152		
3155	Doreen J. Angrisani	finance manager	  Marsh & McLennan Cos. Inc.	N-15	1	495	95	642	121		
3156	Jack Charles Aron	information systems technician	  Marsh & McLennan Cos. Inc.	N-4	1	616	95	757	121		
3157	Michael S. Baksh	client services	  Marsh & McLennan Cos. Inc.	N-16	0	160	157	287	183		
3158	Sharon M. Balkcom	computer systems manager	  Marsh & McLennan Cos. Inc.	N-7	0	520	95	670	121		
3159	Michael Andrew Bane	Marsh & McLennan Cos. Inc.	N-14	0	420	157	583	183			
3160	Katherine Bantis	Marsh & McLennan Cos. Inc.	N-12	0	18	33	145	59			
3161	Scott D. Bart	vice president	  Marsh & McLennan Cos. Inc.	N-9	0	256	64	364	90		
3162	Paul James Battaglia	consultant	  Marsh & McLennan Cos. Inc.	N-4	2	41	157	198	183		
3163	Marlyn Capito Bautista	accounts payable	  Marsh & McLennan Cos. Inc.	N-6	2	700	64	759	90		
3164	Jane S. Beatty	technical support	  Marsh & McLennan Cos. Inc.	N-9	0	177	95	283	121		
3165	Nina Patrice Bell	senior manager	  Marsh & McLennan Cos. Inc.	N-8	0	379	64	508	90		
3166	William Reed Bethke	null	N-10	0	414	95	565	121			
3167	Gary Eugene Bird	vice president	  Marsh USA	N-13	0	27	126	159	152		
3168	Mary Catherine Murphy Boffa	vice president	  Marsh & McLennan Cos. Inc.	N-3	1	7	95	232	121		
3169	Nicholas Andrew Bogdan	Marsh & McLennan Cos. Inc.	N-13	0	177	33	372	59			
3170	Vincent M. Boland	 Jr.	business analyst	  Marsh & McLennan Cos. Inc.	N-10	0	415	157	582	183	
3171	Colin Arthur Bonnett	telecommunications programmer	  Marsh & McLennan Cos. Inc.	N-14	0	20	95	190	121		
3172	Kevin L. Bowser	computer trainer	  Marsh & McLennan Cos. Inc.	N-16	0	309	157	429	183		
3173	Patrice Braut	technology	  Marsh & McLennan Cos. Inc.	N-10	0	510	33	617	59		
3174	Janice Juloise Brown	accountant	  Marsh & McLennan Cos. Inc.	N-11	0	574	126	731	152		
3175	Richard George Bruehert	Marsh & McLennan Cos. Inc.	N-5	0	29	157	219	183			
3176	Lillian Caceres	technology administrator	  Marsh & McLennan Cos. Inc.	N-4	0	639	157	753	183		
3177	Cecile Marella Caguicla	assistance vice president of finance	  Marsh & McLennan Cos. Inc.	N-7	0	390	33	572	59		
3178	Michael John Cahill	attorney	  Marsh & McLennan Cos. Inc.	N-11	0	29	33	182	59		
3179	Philip V. Calcagno	World Trade Center	N-15	1	382	157	524	183			
3180	James Christopher Cappers	vice president	  Marsh & McLennan Cos. Inc.	N-15	0	2	64	198	90		
3181	Richard Michael Caproni	senior accounting specialist	  Marsh & McLennan Cos. Inc.	N-10	1	540	64	727	90		
3182	Edward Carlino	Marsh & McLennan Cos. Inc.	N-11	0	621	33	747	59			
3183	William Otto Caspar	data processing specialist	  Marsh & McLennan Cos. Inc.	N-13	0	186	126	344	152		
3184	Arcelia Castillo	accountant	  Marsh & McLennan Cos. Inc.	N-5	0	2	64	127	90		
3185	Richard G. Catarelli	World Trade Center	N-9	1	21	33	175	59			
3186	Mary Teresa Caulfield	World Trade Center	N-9	0	155	157	322	183			
3187	Thomas Joseph Celic	vice president	  Marsh & McLennan Cos. Inc.	N-12	0	177	157	331	183		
3188	Ana Mercedes Centeno	accountant	  Marsh & McLennan Cos. Inc.	N-14	0	572	95	743	121		
3189	Mark Lawrence Charette	vice president	  Marsh Inc.	N-4	2	210	33	396	59		
3190	Alexander H. Chiang	Marsh & McLennan Cos. Inc.	N-10	0	600	157	756	183			
3191	Peter A. Chirchirillo	Marsh & McLennan Cos. Inc.	N-5	0	145	64	300	90			
3192	Kyung Hee Casey Cho	null	N-14	0	395	95	555	121			
3193	Alex F. Ciccone	null	N-8	1	340	33	458	59			
3194	Elaine Cillo	vice president	  Marsh & McLennan Cos. Inc.	N-6	1	145	157	239	183		
3195	Edna Cintron	administrative assistant	  Marsh & McLennan Cos. Inc.	N-12	0	504	33	612	59		
3196	Donna Marie Clarke	Marsh & McLennan Cos. Inc.	N-14	0	368	33	521	59			
3197	Susan Marie Clyne	Marsh & McLennan Cos. Inc.	N-8	1	175	157	314	183			
3198	Patricia A. Cody	World Trade Center	N-8	0	319	95	444	121			
3199	Daniel Michael Coffey	vice president	  Guy Carpenter	N-5	2	501	64	668	90		
3200	Jason Matthew Coffey	accountant	  Marsh & McLennan Cos. Inc.	N-5	1	317	64	488	90		
3201	Patricia Malia Colodner	null	N-6	0	230	95	414	121			
3202	Linda M. Colon	null	N-3	1	296	126	417	152			
3203	Ronald Edward Comer	null	N-11	1	222	95	394	121			
3204	Kevin F. Conroy	null	N-4	0	1	64	123	90			
3205	Brenda E. Conway	analyst	  Marsh & McLennan Cos. Inc.	N-12	0	426	126	565	152		
3206	Alejandro Cordero	World Trade Center	  Tower 1	N-6	0	2	126	152	152		
3207	Danny A. Correa-Gutierrez	Marsh & McLennan Cos. Inc.	N-7	0	555	157	755	183			
3208	Digna Alexandra Costanza	Marsh & McLennan Cos. Inc.	N-13	0	238	157	441	183			
3209	Michele Coyle-Eulau	systems analyst/management consultant	  Marsh & McLennan Cos. Inc.	N-11	0	601	157	757	183		
3210	Denise Elizabeth Crant	facilities department employee	  Marsh USA	N-10	0	318	33	488	59		
